Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	306-307	3	ἀριστεὺς	relation	APOS	SBJ_AP
0085-002	306-307	3	ἀριστεὺς	head	1	11
0085-002	306-307	4	Βακτρίων	postag	a-p---mg-	n-p---mg-
0085-002	306-307	9	πολεῖ	relation	PRED	PRED_CO
0085-002	306-307	9	πολεῖ	head	0	2
0085-002	314-317	2	Μάταλλος	relation	SBJ	SBJ_AP
0085-002	314-317	2	Μάταλλος	head	15	5
0085-002	314-317	4	θανών	lemma	θνῄσκω	θνήσκω
0085-002	314-317	5	,	relation	AuxX	APOS
0085-002	314-317	5	,	head	0	15
0085-002	314-317	8	ἡγεμὼν	relation	APOS	SBJ_AP
0085-002	314-317	8	ἡγεμὼν	head	2	5
